title	genres	release_date	vote_average	runtime	original_language
Genghis Khan	" 18, 'Drama',  28, 'Action',  36, 'History'"	6231965	6.2	127	en
Shadow Boxers	" 99, 'Documentary'"	621999	0	72	en
Leviathan	" 99, 'Documentary'"	892012	6.8	87	en
Burn	" 10769, 'Foreign',  99, 'Documentary'"	1112012	7.1	86	en
Elevator	" 53, 'Thriller'"	112011	5.1	84	en
Paper Castles	" 10749, 'Romance',  18, 'Drama'"	10252009	5.6	94	es
Accomplices	" 18, 'Drama',  53, 'Thriller'"	1202010	5.6	93	fr
The Glass Menagerie	" 18, 'Drama'"	9281950	6.7	107	en
The Great Gatsby	" 18, 'Drama'"	7131949	5.8	91	en
9500 Liberty	" 99, 'Documentary'"	11152009	0	81	en
Wild Guitar	" 18, 'Drama',  10402, 'Music'"	1211962	5.2	92	en
The Sadist	" 27, 'Horror'"	411963	6.4	92	en
Clip	" 18, 'Drama'"	1272012	5.2	100	sr
Herman's House	" 99, 'Documentary'"	10122012	4.6	80	en
Westward the Women	" 18, 'Drama',  37, 'Western'"	12311951	6.6	118	en
A Thousand Cuts	 " 'Null 	1212012	4.3	0	en
Pablo's Hippos	" 99, 'Documentary'"	112010	8	90	en
Radio Rebel	" 35, 'Comedy',  18, 'Drama',  10751, 'Family',  10770, 'TV Movie'"	2172012	5.9	90	en
StarStruck	" 35, 'Comedy',  10749, 'Romance',  10770, 'TV Movie'"	2142010	6.3	90	en
Geek Charming	" 35, 'Comedy',  18, 'Drama',  10751, 'Family',  10770, 'TV Movie'"	11112011	6	97	en
Elevator	 " 'Null 	442008	3	85	en
In Their Skin	" 27, 'Horror',  53, 'Thriller'"	1192012	5.2	96	en
I Give It a Year	" 35, 'Comedy',  10749, 'Romance'"	282013	5.4	97	en
The Incredible Burt Wonderstone	" 35, 'Comedy'"	3142013	5.3	100	en
Spring Breakers	" 18, 'Drama',  80, 'Crime'"	1242013	5	94	en
The Red Spectacles	" 28, 'Action',  10769, 'Foreign',  878, 'Science Fiction'"	271987	4.8	116	ja
Stray Dog: Kerberos Panzer Cops	" 10769, 'Foreign',  878, 'Science Fiction'"	12311991	6.3	99	en
Abendland	" 99, 'Documentary'"	3312011	5.5	90	de
Shanghai Calling	 " 'Null 	532012	5.7	98	en
I'm So Excited!	" 35, 'Comedy'"	382013	5.8	90	es
The Finger	 " 'Null 	5262011	0	93	es
The Frozen	" 27, 'Horror',  53, 'Thriller'"	10102012	4.2	0	en
Amber Lake	 " 'Null 	10112011	5.7	81	en
Unspeakable Acts	" 18, 'Drama'"	1151990	3.5	100	en
Dry Movie	" 18, 'Drama'"	4142005	7.3	100	pt
Operation: Daybreak	" 28, 'Action',  10752, 'War'"	1111975	6.9	118	en
The Crossing	" 18, 'Drama',  36, 'History',  10752, 'War'"	1102000	6.5	89	en
Shining Night: A Portrait of Composer Morten Lauridsen	" 99, 'Documentary'"	272012	0	74	en
Stolen Seas	 " 'Null 	1182013	8.2	90	en
The Snow Creature	" 27, 'Horror',  878, 'Science Fiction'"	1111954	3.4	71	en
Snowbeast	" 27, 'Horror'"	4281977	3.7	86	en
The Atomic States Of America	" 99, 'Documentary'"	1232012	4	95	en
Miss Blue Jeans	" 35, 'Comedy',  18, 'Drama',  10402, 'Music'"	832012	5.9	86	fi
I Am Comic	" 99, 'Documentary',  35, 'Comedy'"	1102010	5.9	87	en
Outlaw of Gor	" 878, 'Science Fiction',  28, 'Action',  14, 'Fantasy'"	1211988	2.2	89	en
The Call	" 80, 'Crime',  53, 'Thriller'"	3142013	6.6	94	en
Olympus Has Fallen	" 28, 'Action',  53, 'Thriller'"	3202013	6.2	120	en
The Wayward Bus	 " 'Null 	5271957	0	87	en
Where Are My Children?	" 18, 'Drama'"	4161916	6.5	62	en
InAPPropriate Comedy	" 35, 'Comedy'"	3222013	3.6	84	en
Gregory Crewdson: Brief Encounters	" 99, 'Documentary'"	312012	7.5	78	en
Blood Games	" 28, 'Action',  53, 'Thriller'"	12121990	4.8	90	fr
The Wandering Soul Murders	" 10770, 'TV Movie',  80, 'Crime',  18, 'Drama',  9648, 'Mystery'"	192001	5.5	90	en
The Searchers of Happiness	 " 'Null 	111936	0	84	ru
Abraham Lincoln	" 36, 'History',  18, 'Drama'"	1181930	5	96	en
Riders of the Purple Sage	" 10770, 'TV Movie',  18, 'Drama',  37, 'Western',  10749, 'Romance'"	1211996	0	0	en
Steep	" 99, 'Documentary'"	4282007	4.5	92	en
Laffghanistan: Comedy Down Range	" 99, 'Documentary'"	0	0	90	en
Los Marziano	" 18, 'Drama',  35, 'Comedy',  10751, 'Family'"	4102011	6	0	en
My Brother the Devil	" 18, 'Drama'"	1222012	6.6	111	en
The First Time	" 18, 'Drama',  35, 'Comedy',  10749, 'Romance'"	10192012	7.1	95	en
Mezzo Forte	" 16, 'Animation',  28, 'Action',  53, 'Thriller'"	5252000	6	49	ja
Company	" 10402, 'Music'"	6152011	7	145	en
Kill for Me	" 18, 'Drama',  53, 'Thriller'"	2122013	5.7	95	en
The Christine Jorgensen Story	 " 'Null 	10291970	0	98	en
Moving Out	 " 'Null 	3251983	0	91	en
The Baby Dance	 " 'Null 	8231998	5.5	95	en
The Inspectors	" 9648, 'Mystery',  80, 'Crime'"	9201998	6.5	105	en
El Big Bang de Tunguska	" 99, 'Documentary'"	612008	7		es
The Big Circus	" 18, 'Drama'"	751959	7	109	en
My Last Five Girlfriends	" 10749, 'Romance',  35, 'Comedy'"	4292009	5.6	87	en
The Kiss	" 18, 'Drama',  10749, 'Romance'"	111929	6.5	89	en
Trailer Park of Terror	" 27, 'Horror'"	10212008	4.8	98	fr
The Task	" 27, 'Horror'"	1282011	4.9	90	en
2:22	" 53, 'Thriller'"	9242008	5.2	104	en
The Cottage	" 53, 'Thriller'"	12102012	4.3	88	en
Miguel and William	 " 'Null 	222007	5	0	es
The Brussels Business	 " 'Null 	3132012	6.2	85	en
Big Girls Don't Cry... They Get Even	" 35, 'Comedy',  18, 'Drama',  10751, 'Family'"	581992	4.6	96	en
Curse of the Blair Witch	" 99, 'Documentary',  27, 'Horror',  53, 'Thriller'"	7111999	6.4	44	en
The Substitute	" 18, 'Drama',  53, 'Thriller'"	9221993	0	86	en
Upperworld	" 80, 'Crime',  18, 'Drama'"	4281934	7	73	en
Storage	" 80, 'Crime',  53, 'Thriller'"	9102009	6.6	95	en
Assassin's Bullet	" 28, 'Action',  53, 'Thriller'"	812012	3.3	91	en
In the House	" 35, 'Comedy',  18, 'Drama',  9648, 'Mystery',  53, 'Thriller'"	9262012	7.3	105	fr
30 Beats	" 35, 'Comedy',  10749, 'Romance'"	7202012	3.3	89	en
The King Is Dead!	" 18, 'Drama'"	7122012	5.6	102	en
Nazty Nuisance	" 28, 'Action',  12, 'Adventure',  10752, 'War'"	861943	1	43	en
An Ungentlemanly Act	" 36, 'History',  10752, 'War',  18, 'Drama'"	111992	4.3	130	en
The Place Beyond the Pines	" 18, 'Drama',  80, 'Crime'"	3202013	6.8	140	en
Into the White	" 28, 'Action',  18, 'Drama'"	362012	6.9	100	en
The Brass Teapot	" 35, 'Comedy',  14, 'Fantasy',  53, 'Thriller'"	982012	5.8	100	en
Phil Spector	" 10770, 'TV Movie',  18, 'Drama'"	3242013	5.9	92	en
For the Love of a Dog	" 18, 'Drama',  10751, 'Family'"	312008	3.8	90	nl
Alabama Moon	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  10751, 'Family'"	9272009	6.3	99	en
Smitty	" 10751, 'Family',  18, 'Drama'"	4102012	4.3	0	en
The Host	" 28, 'Action',  12, 'Adventure',  10749, 'Romance',  878, 'Science Fiction',  53, 'Thriller'"	3222013	6	125	en
Ocean Heaven	" 18, 'Drama'"	852010	7.1	96	zh
Angel Dog	" 18, 'Drama',  10751, 'Family'"	3192011	3	90	en
The Best and the Brightest	" 35, 'Comedy'"	112010	4.4	93	en
Two Little Boys	" 35, 'Comedy'"	9202012	6.3	106	en
A Beautiful Life	" 18, 'Drama',  10749, 'Romance'"	8142008	0	81	en
A Bird of the Air	" 18, 'Drama',  10749, 'Romance'"	9232011	5.5	99	en
A Breed Apart	" 18, 'Drama',  28, 'Action'"	711984	5	95	en
A Bag of Hammers	" 35, 'Comedy',  18, 'Drama'"	3122011	6	85	en
The Good Doctor	" 18, 'Drama',  53, 'Thriller'"	112011	5	93	en
The Whale	" 99, 'Documentary'"	992011	5	89	en
Admission	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	3212013	5.5	107	en
Riverworld	" 18, 'Drama',  878, 'Science Fiction',  53, 'Thriller'"	4182010	4.3	178	en
Confidential Agent	" 18, 'Drama'"	1191945	4.3	118	en
Kuningas Litmanen	 " 'Null 	9282012	7	0	fi
18 Fingers of Death!	" 28, 'Action',  12, 'Adventure',  35, 'Comedy'"	4112006	5	87	en
A Get2Gether	 " 'Null 	9282005	6	98	en
A Man Called Gannon	" 37, 'Western'"	381968	0	105	en
Don : The Chase Begins Again	" 28, 'Action',  18, 'Drama',  53, 'Thriller'"	10202006	7.3	178	hi
A Bunch of Amateurs	" 35, 'Comedy'"	11172008	6.2	96	en
Night Across the Street	 " 'Null 	7112012	7.5	107	es
The Flat	" 99, 'Documentary',  10769, 'Foreign'"	7112011	6.4	97	he
Patience (After Sebald)	" 99, 'Documentary'"	1272012	5	90	en
Magadheera	" 28, 'Action'"	892009	7.2	166	te
Three Way	" 80, 'Crime',  18, 'Drama',  53, 'Thriller'"	6292004	4.4	88	en
Hey Ram	" 18, 'Drama',  10769, 'Foreign'"	2182000	6.7	199	ta
A Night in Heaven	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	4211983	5.5	86	en
'Twas the Night Before Christmas	" 16, 'Animation',  10751, 'Family'"	1281974	5.9	25	en
Dr. Dolittle 3	" 35, 'Comedy',  10751, 'Family',  14, 'Fantasy'"	4252006	4.5	95	en
The Ghost Galleon	" 27, 'Horror'"	6281974	4.8	89	es
Marvin Gaye What's going on Life and Death of Marvin Gaye	" 10402, 'Music',  99, 'Documentary'"	312005	0	60	en
Copper Mountain	" 35, 'Comedy',  10749, 'Romance'"	111983	2.9	60	en
One Life	" 10751, 'Family',  99, 'Documentary'"	7192011	7.2	85	en
Blue Caprice	" 80, 'Crime',  18, 'Drama',  9648, 'Mystery'"	9122013	5.8	93	en
Bad 25	" 99, 'Documentary'"	11222012	6.9	131	en
Solemn Promise	" 18, 'Drama',  10769, 'Foreign',  10749, 'Romance'"	10212009	3.5	106	en
Huddersfield	" 35, 'Comedy',  18, 'Drama'"	572007	6.7	95	sr
Underground: The Julian Assange Story	" 18, 'Drama'"	1072012	5.8	89	en
Lush Life	" 18, 'Drama'"	1011993	3.8	101	en
009 Re: Cyborg	" 28, 'Action',  16, 'Animation',  878, 'Science Fiction'"	10272012	5.7	103	ja
Ace Attorney	" 80, 'Crime',  18, 'Drama',  9648, 'Mystery'"	2122012	5.8	135	ja
Emmauksen tiellä	 " 'Null 	9262001	7		fi
Loaded	" 28, 'Action',  80, 'Crime',  18, 'Drama',  53, 'Thriller'"	3252008	4	98	en
The Elusive Summer of '68	" 35, 'Comedy'"	1301984	6.6	91	sr
Koi... Mil Gaya	" 18, 'Drama',  28, 'Action',  878, 'Science Fiction',  10749, 'Romance',  10769, 'Foreign'"	882003	6.4	171	hi
Dinosaurus!	" 12, 'Adventure',  14, 'Fantasy',  878, 'Science Fiction'"	8101960	5	85	en
Miss Cast Away	" 35, 'Comedy'"	112004	2.7	90	en
Business as Usual	" 18, 'Drama'"	111987	0	89	en
Thank God He Met Lizzie	" 35, 'Comedy',  10749, 'Romance'"	11201997	5	91	en
The Rough House	" 35, 'Comedy'"	6251917	5.6	22	en
Evil Dead	" 27, 'Horror'"	452013	6.4	91	en
Trance	" 53, 'Thriller',  80, 'Crime',  18, 'Drama',  9648, 'Mystery'"	3272013	6.5	101	en
The War of the Gargantuas	" 28, 'Action',  27, 'Horror',  878, 'Science Fiction'"	7311966	6.3	88	ja
The Machine That Kills Bad People	" 18, 'Drama',  35, 'Comedy'"	5141952	6.8	80	it
Chasing Beauty	" 99, 'Documentary'"	422013	6.5	90	en
Killing Bono	" 35, 'Comedy',  18, 'Drama'"	412011	6.3	114	en
Welcome to the Punch	" 28, 'Action',  12, 'Adventure',  80, 'Crime'"	3152013	5.7	99	en
My Awkward Sexual Adventure	" 35, 'Comedy',  10749, 'Romance'"	9112012	5.6	98	en
Fly Me to the Moon	" 35, 'Comedy',  10749, 'Romance'"	10292012	5.6	104	fr
A Family	" 18, 'Drama'"	2242011	6	102	da
Papadopoulos & Sons	" 35, 'Comedy',  18, 'Drama'"	12202012	5.7	109	el
Better This World	" 99, 'Documentary'"	4232011	6.8	89	en
Americano	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	172005	5.9	95	en
Skylab	" 35, 'Comedy'"	9192011	6.3	113	fr
Putzel	" 35, 'Comedy'"	10102012	1	88	en
The Mountain	" 12, 'Adventure',  18, 'Drama'"	11141956	6.8	105	en
The Fighting Prince of Donegal	" 28, 'Action',  12, 'Adventure'"	1011966	7	110	en
Poor White Trash	" 80, 'Crime',  35, 'Comedy'"	6162000	3.9	85	en
Year of the Jellyfish	" 53, 'Thriller',  18, 'Drama',  10749, 'Romance'"	11141984	6.1	110	fr
Don't Make Waves	" 35, 'Comedy'"	6201967	6.4	97	en
The King of Texas	 " 'Null 	312008	0	73	en
About Face: Supermodels Then and Now	" 99, 'Documentary'"	7232012	5	75	en
According to Spencer	" 35, 'Comedy',  10749, 'Romance'"	8152001	4	94	en
National Geographic: Hitler's Stealth Fighter	" 99, 'Documentary'"	112009	0	0	en
One Lucky Elephant	" 99, 'Documentary'"	682011	8	84	en
Racing Dreams	" 99, 'Documentary'"	5142010	6.8	93	en
The Staircase	" 18, 'Drama',  99, 'Documentary'"	612004	7.9	360	en
Shepard & Dark	" 99, 'Documentary'"	9112012	6	92	en
Teenage Paparazzo	" 99, 'Documentary'"	1222010	6.4	94	en
50 Children: The Rescue Mission of Mr. and Mrs. Kraus	" 99, 'Documentary'"	472013	0	62	en
Oblivion	" 28, 'Action',  878, 'Science Fiction',  12, 'Adventure',  9648, 'Mystery'"	4102013	6.4	124	en
Nazis at the Center of the Earth	" 12, 'Adventure',  27, 'Horror',  28, 'Action',  53, 'Thriller',  878, 'Science Fiction'"	4232012	3.2	90	en
The Fourth State	" 53, 'Thriller'"	382012	4.9	115	de
God's Puzzle	" 878, 'Science Fiction'"	672008	6.2	134	ja
Siberian Education	" 18, 'Drama',  80, 'Crime'"	2272013	6.7	110	it
Dark Tide	" 53, 'Thriller',  12, 'Adventure',  18, 'Drama'"	3282012	4.8	113	en
Bernice Bobs Her Hair	 " 'Null 	1061976	0	45	en
Bones Brigade: An Autobiography	" 99, 'Documentary'"	1212012	7.9	90	en
To the Wonder	" 18, 'Drama',  10749, 'Romance'"	2222013	5.9	112	en
42	" 18, 'Drama'"	4122013	6.8	128	en
The Prodigal Son	 " 'Null 	10301992	5	97	en
Ladybug Ladybug	" 18, 'Drama'"	12231963	6.6	82	en
Happy	" 18, 'Drama',  35, 'Comedy',  99, 'Documentary',  10749, 'Romance',  10751, 'Family',  10769, 'Foreign'"	492011	7.1	75	en
The Truth of Lie	" 53, 'Thriller',  18, 'Drama'"	10272011	5	98	de
The Castle of Cloads	" 18, 'Drama',  35, 'Comedy'"	11271970	0	89	en
Bhutto	" 99, 'Documentary'"	1152010	4.9	111	en
Black Rose Ascension	 " 'Null 	111975	0	0	fr
E Aí... Comeu?	" 35, 'Comedy'"	6222012	5.8	100	pt
Undefeatable	" 28, 'Action',  53, 'Thriller'"	9291993	6.6	90	en
The Burning Bed	" 10770, 'TV Movie',  80, 'Crime',  18, 'Drama'"	1081984	6	100	en
A Lawless Street	" 28, 'Action',  37, 'Western'"	11151955	4.6	78	en
Across the Wide Missouri	" 12, 'Adventure',  37, 'Western'"	1011951	4.9	78	en
Seeking Asian Female	" 99, 'Documentary'"	3122012	5	80	en
Love Is All You Need	" 35, 'Comedy',  10749, 'Romance'"	942012	6.2	116	da
Downeast	" 99, 'Documentary'"	6152012	0	80	en
U2: From the Sky Down	" 10402, 'Music',  99, 'Documentary'"	10292011	6.5	86	en
Afghan Luke	" 18, 'Drama'"	9232011	4.8	100	en
Alex in Wonderland	" 35, 'Comedy',  18, 'Drama'"	111970	6.7	110	en
Carne de gallina	 " 'Null 	10262001	5.5	0	es
Wolf Children	" 16, 'Animation',  18, 'Drama',  10751, 'Family',  14, 'Fantasy'"	7212012	8	117	ja
Mugabe and the White African	" 99, 'Documentary',  10769, 'Foreign'"	872009	6	90	en
Battle in Outer Space	" 878, 'Science Fiction'"	12261959	5.4	90	en
Tesla: Master of Lightning	" 99, 'Documentary',  36, 'History'"	112000	5.7	87	en
Never Sleep Again: The Elm Street Legacy	" 99, 'Documentary'"	542010	8.2	240	en
Disconnect	" 18, 'Drama',  53, 'Thriller'"	9112012	6.9	115	en
iSteve	" 35, 'Comedy'"	4142013	5	79	en
All American Orgy	" 35, 'Comedy'"	8102010	3	98	en
The Colors of the Mountain	" 18, 'Drama'"	4272011	7.5	90	es
The Eternal Return	" 10749, 'Romance',  18, 'Drama'"	12131943	7.1	107	fr
Konga	" 27, 'Horror',  10749, 'Romance',  878, 'Science Fiction'"	111961	4.3	90	en
The H-Man	" 27, 'Horror',  878, 'Science Fiction'"	6241958	6.3	87	ja
Scary Movie 5	" 35, 'Comedy'"	4112013	4.6	86	en
Last Cowboy Standing	" 18, 'Drama'"	942009	8	123	en
Like Someone in Love	" 18, 'Drama'"	9152012	7.3	109	ja
The Invincible Iron Man	" 16, 'Animation',  28, 'Action',  878, 'Science Fiction'"	1232007	5.5	83	en
Thor: Tales of Asgard	" 12, 'Adventure',  16, 'Animation',  28, 'Action'"	5162011	6.2	77	en
Before Your Eyes	" 18, 'Drama',  28, 'Action',  53, 'Thriller',  878, 'Science Fiction',  10769, 'Foreign'"	9192009	7.4	102	de
"Yongary, Monster from the Deep"	" 27, 'Horror',  878, 'Science Fiction',  10769, 'Foreign'"	111967	4	79	en
To the Arctic	" 99, 'Documentary'"	4202012	5.7	40	en
Pain & Gain	" 53, 'Thriller',  80, 'Crime',  28, 'Action'"	4182013	6.1	130	en
The Holding	" 53, 'Thriller'"	992011	5.6	88	en
Breaking Wind	" 27, 'Horror',  35, 'Comedy'"	3272012	3.7	83	en
The Taming of the Shrew	" 18, 'Drama',  35, 'Comedy',  10749, 'Romance'"	10231980	10	126	en
The Bride Came C.O.D.	" 35, 'Comedy',  10749, 'Romance'"	7121941	7.8	92	en
Mexican Hayride	" 35, 'Comedy'"	1211948	6	78	en
Iron Man: Rise of Technovore	" 878, 'Science Fiction',  16, 'Animation',  28, 'Action'"	4242013	5.2	88	ja
Hulk vs. Wolverine	" 16, 'Animation',  28, 'Action',  878, 'Science Fiction'"	1272009	6.8	38	en
Planet Hulk	" 16, 'Animation',  28, 'Action',  878, 'Science Fiction'"	222010	6.7	81	en
A Band Called Death	" 99, 'Documentary',  10402, 'Music'"	6272013	7.1	96	en
Home Run	" 18, 'Drama'"	4192013	6.3	114	en
Resolution	" 27, 'Horror',  53, 'Thriller',  9648, 'Mystery'"	4202012	6.3	93	en
Grabbers	" 878, 'Science Fiction',  35, 'Comedy',  53, 'Thriller',  27, 'Horror'"	8102012	6	94	en
Erased	" 28, 'Action',  53, 'Thriller'"	9272012	5.6	100	en
Albino Farm	" 27, 'Horror'"	992009	4	85	en
Always in My Heart	" 18, 'Drama',  10402, 'Music'"	3141942	5.5	92	en
Justice League: Doom	" 28, 'Action',  16, 'Animation',  53, 'Thriller'"	2282012	7.1	77	en
Living on One Dollar	" 99, 'Documentary'"	4222013	6.6	56	en
The Grandmaster	" 28, 'Action',  18, 'Drama',  36, 'History'"	182013	6.3	130	zh
The Magnetic Monster	" 878, 'Science Fiction'"	2181953	5.9	76	en
After Office Hours	" 80, 'Crime',  18, 'Drama',  10749, 'Romance'"	2221935	6	72	en
American Kickboxer	" 28, 'Action'"	7241991	3.4	92	en
American Kickboxer 2	" 28, 'Action'"	841993	5	93	fr
American Winter	" 99, 'Documentary'"	3182013	0	90	en
Polly of the Circus	" 35, 'Comedy',  18, 'Drama'"	2261932	5.5	69	en
Going to Pieces: The Rise and Fall of the Slasher Film	" 99, 'Documentary',  27, 'Horror'"	10132006	7.6	88	en
One-Eyed Monster	" 35, 'Comedy',  27, 'Horror'"	11112008	5.2	84	en
Prinsessa Ruusunen	 " 'Null 	481949	0		fi
Yesterday Was a Lie	" 18, 'Drama',  9648, 'Mystery',  878, 'Science Fiction',  53, 'Thriller'"	112008	6	89	en
Sofia's Last Ambulance	" 99, 'Documentary'"	5232012	7.3	75	bg
This Is the End	" 28, 'Action',  35, 'Comedy'"	6122013	6.2	107	en
Iron Man 3	" 28, 'Action',  12, 'Adventure',  878, 'Science Fiction'"	4182013	6.8	130	en
Miss Austen Regrets	" 18, 'Drama'"	232008	5.4	90	en
Valentino	" 18, 'Drama',  36, 'History'"	971977	5.4	128	en
Revolution	" 99, 'Documentary'"	4122013	4.9	90	en
The Black Camel	" 53, 'Thriller',  80, 'Crime',  35, 'Comedy',  9648, 'Mystery',  18, 'Drama'"	6211931	5.2	71	en
Middle of Nowhere	" 35, 'Comedy',  18, 'Drama'"	962008	6.1	95	en
Superman: Unbound	" 16, 'Animation',  28, 'Action',  12, 'Adventure'"	562013	6.6	75	en
Zombies of the Stratosphere	" 878, 'Science Fiction'"	7161952	4.5	167	en
3° kälter	" 10749, 'Romance',  18, 'Drama'"	3162006	0	104	de
The Numbers Station	" 28, 'Action',  53, 'Thriller'"	4182013	5.3	90	en
The English Teacher	" 35, 'Comedy',  18, 'Drama'"	5162013	5.8	91	en
Standing Up	" 18, 'Drama'"	8162013	6.5	93	en
Late Autumn	" 18, 'Drama'"	9102010	6.9	113	ko
Black Gold	" 12, 'Adventure',  18, 'Drama'"	12212011	5.9	130	en
"The Late, Great Planet Earth"	" 99, 'Documentary'"	111979	1	91	en
A Better Way to Die	" 28, 'Action',  53, 'Thriller'"	112000	5.8	96	en
Casanova's Big Night	" 35, 'Comedy',  12, 'Adventure'"	471954	6.8	86	en
Tunnel Rats	" 28, 'Action',  18, 'Drama',  10752, 'War'"	5312008	5.1	92	en
"20,000 Leagues Under the Sea"	" 12, 'Adventure',  14, 'Fantasy',  28, 'Action',  878, 'Science Fiction'"	5111997	4.6	158	en
A Successful Calamity	" 35, 'Comedy',  18, 'Drama'"	9171932	0	72	en
Mud	" 18, 'Drama'"	512013	7	130	en
L'industriale	" 18, 'Drama'"	1132011	5	94	it
Chariots of the Gods	" 99, 'Documentary',  9648, 'Mystery'"	111970	7.1	92	de
The Human Tornado	" 28, 'Action',  35, 'Comedy'"	1021976	5.8	85	en
Aces 'N' Eights	" 28, 'Action',  37, 'Western'"	3152008	5.1	86	en
After The Storm	" 18, 'Drama',  53, 'Thriller',  80, 'Crime',  28, 'Action'"	8172001	2.7	99	sv
The Tenth Man	" 18, 'Drama',  10749, 'Romance',  10752, 'War',  10770, 'TV Movie'"	1241988	5.3	100	en
Bill Hicks: Revelations	" 35, 'Comedy'"	5271993	8.5	60	en
Perils of the Sentimental Swordsman	" 28, 'Action'"	5131982	4.8	87	en
War of the Shaolin Temple	" 10769, 'Foreign',  28, 'Action',  12, 'Adventure',  10752, 'War'"	9141980	6	89	en
Majesty	" 18, 'Drama'"	10282010	6	100	en
Dragon	" 18, 'Drama',  28, 'Action',  53, 'Thriller'"	742011	6.9	115	en
The Lost One	" 18, 'Drama',  53, 'Thriller'"	971951	6.3	98	de
Manhunt: The Inside Story of the Hunt for Bin Laden	" 99, 'Documentary'"	1202013	6.3	100	en
Cheerful Weather for the Wedding	" 18, 'Drama',  35, 'Comedy',  10749, 'Romance'"	1272012	5.5	93	en
Small Apartments	" 35, 'Comedy',  80, 'Crime'"	3102012	5.7	96	en
Holy Flame of the  Martial World	" 14, 'Fantasy',  28, 'Action'"	6101983	6.4	85	en
The Web of Death	" 28, 'Action',  18, 'Drama',  10769, 'Foreign'"	10281976	5.3	87	en
Legendary Weapons of China	" 28, 'Action',  10769, 'Foreign'"	1211982	6.7	109	zh
Ju-on: White Ghost	" 27, 'Horror'"	6272009	6	61	ja
Ju-on: Black Ghost	" 27, 'Horror'"	6272009	4.6	60	ja
The South Shaolin Master	" 28, 'Action'"	4141984	8	96	en
Cold Steel	" 28, 'Action',  18, 'Drama',  53, 'Thriller'"	111987	6	91	en
The Afflicted	" 27, 'Horror',  53, 'Thriller'"	10222011	4	85	en
Pawn	" 80, 'Crime',  53, 'Thriller'"	4232013	5.4	88	en
Manborg	" 27, 'Horror',  878, 'Science Fiction'"	9222011	5	75	en
Under the Salt	" 28, 'Action',  53, 'Thriller',  9648, 'Mystery',  10769, 'Foreign'"	10172008	5.8	0	es
Henry IV Part 1	" 18, 'Drama',  36, 'History'"	1291979	4.5	148	en
Family Weekend	" 35, 'Comedy',  18, 'Drama'"	3282013	6.2	105	en
The Woman Who Wasn't There	" 99, 'Documentary'"	4132012	6.7	65	en
Sergeant Dead Head	" 35, 'Comedy'"	8181965	0	90	en
The Scapegoat	 " 'Null 	992012	6.5	100	en
8:46	" 18, 'Drama'"	9112011	6.5	50	en
Hungry for Change	" 99, 'Documentary'"	112012	7.2	89	en
Ovosodo	" 35, 'Comedy',  18, 'Drama'"	9121997	6.9	100	it
Henry IV Part 2	" 18, 'Drama',  36, 'History'"	12161979	0	150	en
A Grin Without a Cat	" 99, 'Documentary',  10769, 'Foreign'"	11231977	8.3	240	fr
Numéro Deux	" 18, 'Drama'"	9241975	7.7	88	fr
Empire	" 99, 'Documentary'"	821964	4	485	en
American Bandits: Frank and Jesse James	" 28, 'Action',  37, 'Western'"	5182010	3.8	88	en
Shaolin Temple	" 28, 'Action',  12, 'Adventure'"	12221976	6.1	126	en
The Sentimental Swordsman	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  10769, 'Foreign'"	10141977	6	101	zh
Descendant of the Sun	" 28, 'Action',  14, 'Fantasy',  10769, 'Foreign'"	12161983	4.3	84	en
A Brooklyn State of Mind	" 18, 'Drama',  28, 'Action',  53, 'Thriller',  10749, 'Romance'"	111998	5	89	en
Three and Out	" 18, 'Drama',  35, 'Comedy'"	10122008	6.1	110	en
About Cherry	" 18, 'Drama'"	2142012	4.4	102	en
Sushi Girl	" 53, 'Thriller',  80, 'Crime'"	1272012	5.4	98	en
Where The Road Meets The Sun	" 18, 'Drama',  80, 'Crime',  10769, 'Foreign'"	6292011	4.3	90	en
Airspeed	" 12, 'Adventure',  28, 'Action'"	8181998	3.3	98	en
Rich and Famous	" 18, 'Drama'"	9231981	4.9	115	en
The Arrested Development Documentary Project	" 99, 'Documentary',  35, 'Comedy'"	522013	6.2	75	en
The Awful Dr. Orlof	" 27, 'Horror',  53, 'Thriller'"	5141962	6.1	90	es
"Tomorrow, the World!"	" 18, 'Drama'"	12291944	6.5	86	en
Enter the Phoenix	" 53, 'Thriller',  28, 'Action',  35, 'Comedy'"	482004	6.4	104	cn
Syrup	" 18, 'Drama',  35, 'Comedy'"	672013	5.7	90	en
The Candy Snatchers	" 18, 'Drama',  53, 'Thriller'"	111973	6.8	94	en
Fortress 2	" 878, 'Science Fiction',  28, 'Action'"	1071999	4.6	92	en
The Woman in the Fifth	" 53, 'Thriller',  9648, 'Mystery'"	11162011	5	85	en
Dangerous Corner	" 9648, 'Mystery'"	1241934	0	66	en
The Intruder	" 53, 'Thriller',  10769, 'Foreign'"	11191999	4.7	90	en
The Great Gatsby	" 18, 'Drama',  10749, 'Romance'"	5102013	7.3	143	en
Hurt	" 18, 'Drama',  9648, 'Mystery',  53, 'Thriller'"	11102009	3.8	96	en
